date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:00	44553/44553	---M--	200	added ('OK')	image/jpeg	etag:%22d7e6bfe6cd73663cbfeee56f1643c562%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809516_somer25.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809516_somer25.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:01	27273/27273	---M--	200	added ('OK')	image/jpeg	etag:%22f263ec9b2d41c5c7be70fe8e1cc399fd%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809561_somer26.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809561_somer26.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:01	46409/46409	---M--	200	added ('OK')	image/jpeg	etag:%22d3960815c35c16bb8cb478853784fdad%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809596_somer27.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809596_somer27.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:01	48000/48000	---M--	200	added ('OK')	image/jpeg	etag:%22f166db05da2f1b5a21bf5744c494337d%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809635_somer28.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809635_somer28.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:02	26682/26682	---M--	200	added ('OK')	image/jpeg	etag:%22f6234e68ae16cc011fb59eddbba45487%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809695_somer29.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809695_somer29.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:02	24027/24027	---M--	200	added ('OK')	image/jpeg	etag:%2200949b8afc24ff035570dfbb074fad80%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809738_somer30.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809738_somer30.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:02	27471/27471	---M--	200	added ('OK')	image/jpeg	etag:%22fb07da1aa8c65dec774058755be04ee2%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809782_somer31.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809782_somer31.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:02	37256/37256	---M--	200	added ('OK')	image/jpeg	etag:%22e6650fef5b1f7bfd035a6950019f083d%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809831_somer32.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809831_somer32.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:03	22009/22009	---M--	200	added ('OK')	image/jpeg	etag:%223ba352814a18db24edf0e6215643a0bb%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809894_somer33.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809894_somer33.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:03	26598/26598	---M--	200	added ('OK')	image/jpeg	etag:%2290a6384cbc6d3a9028253b5c1d73851a%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809929_somer34.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809929_somer34.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
